날짜,적요,금액,분류,메모
2025-01-02,스타벅스,-4500,카페,아메리카노
2025-01-03,월급,2500000,급여,1월 급여
2025-01-04,이마트,-75000,식비,장보기
2025-01-05,넷플릭스,-14500,구독,월구독료
2025-01-10,CGV,-32000,여가,영화관람
2025-01-15,올리브영,-45000,쇼핑,화장품
2025-01-20,GS25,-8500,식비,편의점
2025-02-01,월급,2500000,급여,2월 급여
2025-02-03,쿠팡,-89000,쇼핑,생활용품
2025-02-05,스타벅스,-6000,카페,카페라떼
2025-02-10,배달의민족,-35000,식비,저녁 배달
2025-02-15,유튜브프리미엄,-14900,구독,월구독료
2025-02-20,카카오T,-25000,교통,택시비
2025-03-01,월급,2500000,급여,3월 급여
2025-03-05,쿠팡이츠,-42000,식비,점심 배달
2025-03-10,롯데시네마,-28000,여가,영화관람
2025-03-15,다이소,-15000,쇼핑,생활용품
